"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04510","mmu04510","Focal adhesion - Mus musculus (house mouse)",123,0.490768616257504,1.90207887822003,4.0254327596331e-06,0.000130586154890936,7.52852973946125e-05,2192,"tags=43%, list=20%, signal=35%","Fn1/Met/Fyn/Thbs1/Itga1/Bcl2/Itgb1/Ppp1cb/Ccnd2/Pten/Raf1/Rap1b/Pdgfb/Vasp/Vegfc/Col4a2/Vwf/Capn2/Parvg/Actn4/Itga5/Flna/Parvb/Prkcb/Actg1/Itgav/Map2k1/Pik3cd/Hgf/Rap1a/Rapgef1/Rhoa/Rac1/Itgb7/Itgb5/Bad/Tln1/Akt1/Crk/Itgb3/Mapk3/Ilk/Pdgfrb/Ccnd1/Dock1/Col4a1/Ppp1ca/Cav2/Akt3/Itga3/Pik3r2/Itga4/Vav3"
"mmu04145","mmu04145","Phagosome - Mus musculus (house mouse)",122,0.490569238585614,1.89584832224066,5.00722611811905e-06,0.000130586154890936,7.52852973946125e-05,1934,"tags=34%, list=18%, signal=29%","C3/Cd36/Msr1/Thbs1/Fcgr4/Itgb1/Itgb2/Atp6v1b2/H2-Q6/Lamp1/Atp6v1a/H2-K1/H2-Q7/Ncf1/Lamp2/H2-Q4/H2-D1/Clec7a/Sec61b/Itga5/Atp6v0c/Actg1/Itgav/H2-T24/Cd14/C1ra/Fcgr1/H2-Ob/Tcirg1/Rac1/Itgb5/Tap2/Rilp/Ctsl/Itgb3/H2-DMa/H2-T10/H2-Eb1/Sec61g/Calr/Atp6v1g1/Stx7"
"mmu04210","mmu04210","Apoptosis - Mus musculus (house mouse)",119,0.489192214270463,1.88021181609646,4.77065818364474e-06,0.000130586154890936,7.52852973946125e-05,1673,"tags=32%, list=15%, signal=27%","Bcl2a1d/Htra2/Bcl2/Traf1/Bcl2a1a/Ctsb/Ctsc/Map3k5/Ctsh/Raf1/Itpr1/Daxx/Capn2/Csf2rb2/Bcl2l11/Map3k14/Il3ra/Apaf1/Actg1/Nfkb1/Sptan1/Itpr3/Parp1/Map2k1/Pik3cd/Bcl2a1b/Casp8/Fos/Parp4/Bad/Kras/Akt1/Nfkbia/Ctsl/Ern1/Mapk3/Gadd45g/Lmnb1"
"mmu04218","mmu04218","Cellular senescence - Mus musculus (house mouse)",133,0.472040774821391,1.84399599670057,7.38555710074486e-06,0.000171450432695863,9.8844298040044e-05,1879,"tags=33%, list=17%, signal=28%","Ets1/Nfatc3/Ppp1cb/H2-Q6/Ccnd2/Calm1/Rassf5/Pten/Raf1/Itpr1/Tgfbr1/E2f2/H2-K1/H2-Q7/Rb1/Slc25a4/Rras/Capn2/Slc25a5/H2-Q4/H2-D1/Tgfbr2/Smad3/H2-T24/Nfkb1/Itpr3/Map2k1/Pik3cd/Sqstm1/Ppp3r1/Nfatc1/Kras/Trpv4/Cdk6/Akt1/Lin54/Cacna1d/Mapk3/Gadd45g/Ccnd1/Zfp36l1/H2-T10/Ppp1ca/Vdac2"
"mmu03320","mmu03320","PPAR signaling pathway - Mus musculus (house mouse)",38,0.67016208235867,2.0972072872602,1.06512828477328e-05,0.000221444208148237,0.000127666620406109,1650,"tags=47%, list=15%, signal=40%","Pparg/Cd36/Lpl/Pltp/Gk/Rxra/Nr1h3/Fabp4/Cyp27a1/Dbi/Acox3/Scd1/Acadm/Acaa1a/Acsl5/Acsl4/Plin2/Ilk"
"mmu04810","mmu04810","Regulation of actin cytoskeleton - Mus musculus (house mouse)",143,0.45362363311007,1.79916855901469,1.09018687088363e-05,0.000221444208148237,0.000127666620406109,2237,"tags=41%, list=21%, signal=33%","Spata13/Fn1/Cyfip2/Itgax/Tiam1/Iqgap2/Itgal/Itga1/Itgb1/Itgb2/Ppp1cb/Arhgef1/Gsn/Msn/Raf1/Pdgfb/Cxcr4/Ssh1/Rras/Actn4/Itga5/Actg1/Myh9/Itgav/Map2k1/Arhgef6/Pik3cd/Pfn1/Ssh2/Cyria/Rhoa/Rac1/Itgb7/Iqgap1/Pip4k2c/Itgb5/Fgfr1/Kras/Akt1/Arpc5l/Crk/Itgb3/Mapk3/Pdgfrb/Fgd3/Arpc5/Dock1/Araf/Actr3/Ppp1ca/Pip4k2a/Arpc1b/Akt3/Itga3/Pik3r2/Itga4/Vav3/Arpc1a/Arpc3"
"mmu04610","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)",29,0.713141868121609,2.11627651056374,1.30382538104106e-05,0.000249260734610791,0.000143703354690594,1327,"tags=41%, list=12%, signal=36%","C3/F13a1/F5/Itgax/Itgb2/Vwf/F10/Thbd/C4b/C1ra/C5ar1/Cfh"
"mmu04921","mmu04921","Oxytocin signaling pathway - Mus musculus (house mouse)",88,0.517005183891731,1.9054194037698,1.43367204712155e-05,0.000258857452952502,0.000149236037653588,1922,"tags=40%, list=18%, signal=33%","Plcb1/Pik3r6/Adcy7/Rcan1/Nfatc3/Ppp1cb/Calm1/Raf1/Kcnj2/Itpr1/Gnaq/Ryr1/Mef2c/Camkk2/Camk1/Prkcb/Actg1/Eef2/Itpr3/Map2k1/Camk2g/Rhoa/Fos/Ppp3r1/Nfatc1/Kras/Adcy4/Cacna1d/Mapk3/Prkacb/Ccnd1/Plcb3/Ppp1ca/Trpm2/Rgs2"
"mmu04520","mmu04520","Adherens junction - Mus musculus (house mouse)",63,0.573083541880982,1.98654448204437,1.71448528505875e-05,0.000272532500391323,0.000157119951642609,1428,"tags=37%, list=13%, signal=32%","Met/Fyn/Ccm2/Tcf7l2/Afdn/Heg1/Ptprj/Rap1b/Tgfbr1/Insr/Ptpn6/Tgfbr2/Smad3/Actn4/Actg1/Rap1a/Nectin4/Rhoa/Cdh1/Rac1/Iqgap1/Fgfr1/Smurf2"
"mmu04621","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)",148,0.446652696933506,1.78686899313694,1.76097923329778e-05,0.000272532500391323,0.000157119951642609,1987,"tags=35%, list=18%, signal=29%","Plcb1/Bcl2/Mefv/Ctsb/Stat2/Itpr1/Nod1/Gbp7/Ifi204/Tyk2/Rnasel/Pstpip1/Sting1/Ripk2/Antxr2/Traf3/Gbp3/Nfkb1/Ikbke/Oas2/Naip6/Nampt/Itpr3/Il18/Ywhae/Irf7/Casp8/Oas1a/Oas3/Ccl2/Nlrp3/Gabarap/Rhoa/Casp4/Naip5/Irf3/Panx1/Trip6/Nlrc4/Irgm1/Txn2/Nfkbia/P2rx7/Tank/Mapk3/Traf5/Nlrp1a/Plcb3/Vdac2/Trpm2/Gsdmd/Chuk"
"mmu05171","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)",175,0.42558940644099,1.73076496490368,1.71521847922875e-05,0.000272532500391323,0.000157119951642609,3291,"tags=57%, list=30%, signal=40%","C3/F13a1/Stat2/Ace/Tyk2/Vwf/Rplp0/Mx1/Il6st/Rpl7a/Sting1/Rpl28/Rps9/Nrp1/Ifih1/Rigi/Isg15/Traf3/Cxcl10/Prkcb/C4b/Nfkb1/Ikbke/Oas2/Eif2ak2/C1ra/Rpl41/Stat3/Rpl31/Pik3cd/C5ar1/Oas1a/Oas3/Ccl2/Nlrp3/Fos/Irf3/Rpl13/Rps26/Rpl10a/Rpl32/Rpsa/Tlr7/Rpl37/Nfkbia/Rpl29/Rpl19/Mx2/Rpl23a/Mapk3/Rpl22/Rps17/Rps6/Rpl3/Rpl4/Rpl3l/Rpl10/Rpl6/Chuk/Rps18/Rps12/Rps3/Tab2/Pik3r2/Rps28/Rpl27a/Rpl17/Mavs/Tlr2/Rps5/Rps2/Rps15a/Rpl35/Rpl18/Rpl11/Rps4x/Mapk11/C3ar1/Rela/Rpl13a/Rps7/Rps20/Tnfrsf1a/Il1b/Rpl14/Oas1b/Rps27a/Rps27l/Oas1g/Adar/Rpl18a/Tnf/Rpl21/Fcgr3/Rpl35a/Rpl15/C1qa/Ifnar1/Rpl9"
"mmu05200","mmu05200","Pathways in cancer - Mus musculus (house mouse)",330,0.372411267466415,1.61021392562269,2.66931531801597e-05,0.000394330671979632,0.000227338816558298,1850,"tags=29%, list=17%, signal=25%","Fn1/Plcb1/Notch1/Ets1/Pparg/Met/Jup/Adcy7/Cebpa/Fzd7/Bcl2/Itgb1/Tcf7l2/Traf1/Cdkn1b/Mgst1/Rasgrp1/Zbtb16/Arhgef1/Ccnd2/Calm1/Gng2/Hes1/Stat2/Rassf5/Pten/Raf1/Tgfbr1/Pdgfb/Gnaq/Cxcr4/Rasgrp2/Rxra/Vegfc/E2f2/Il2rg/Col4a2/Rb1/Jag1/Il6st/Csf2rb2/Bcl2l11/Gngt2/Mitf/Tgfbr2/Smad3/Il3ra/Bcr/Nfe2l2/Apaf1/Traf3/Prkcb/Itgav/Nfkb1/Stat5b/Stat3/Map2k1/Pik3cd/Spi1/Hgf/Casp8/Tfg/Gstm1/Camk2g/Csf1r/Dvl1/Gnb1/Rhoa/Cdh1/Rac1/Fos/Jak2/Bad/Hif1a/Fgfr1/Kras/Cdk6/Adcy4/Akt1/Pld1/Nfkbia/Cks2/Crk/Mapk3/Pdgfrb/Gadd45g/Prkacb/Ralb/Traf5/Ccnd1/Notch2/Esr1/Lrp6/Keap1/Araf/Col4a1/Plcb3"
"mmu04022","mmu04022","cGMP-PKG signaling pathway - Mus musculus (house mouse)",89,0.518197080050728,1.90728235299099,2.84960744284919e-05,0.000401363607639647,0.000231393432096703,2169,"tags=44%, list=20%, signal=35%","Plcb1/Pik3r6/Atp1a1/Adcy7/Atp2b1/Nfatc3/Ppp1cb/Adrb1/Calm1/Raf1/Mef2d/Itpr1/Gnaq/Vasp/Slc25a4/Mef2c/Adrb2/Slc25a5/Insr/Itpr3/Map2k1/Mef2a/Rhoa/Ppp3r1/Bad/Nfatc1/Adcy4/Akt1/Creb3l2/Cacna1d/Mapk3/Plcb3/Ppp1ca/Vdac2/Rgs2/Akt3/Calml4/Pde5a/Adcy9"
"mmu05207","mmu05207","Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)",105,0.495607906043826,1.87814889337395,2.96391587180047e-05,0.000401363607639647,0.000231393432096703,1782,"tags=36%, list=16%, signal=31%","Rps6ka2/Adcy7/Bcl2/Kpna4/Bcl6/Mgst1/Adrb1/Paqr7/Raf1/Rxra/Klf4/Rb1/Ahr/Adrb2/Jag1/Ugt1a7c/Kpnb1/Prkcb/Nfkb1/Ikbke/Stat5b/Stat3/Map2k1/Pik3cd/Gstm1/Fos/Jak2/Bad/Kras/Adcy4/Akt1/Creb3l2/Cacna1d/Mapk3/Prkacb/Ccnd1/Notch2/Esr1"
"mmu04148","mmu04148","Efferocytosis - Mus musculus (house mouse)",123,0.458946147018666,1.77874408339639,4.22484368130319e-05,0.000549229678569414,0.000316640915903986,2047,"tags=37%, list=19%, signal=30%","Dusp16/Pparg/Alox5/Cd36/Thbs1/Nfatc3/Havcr2/Dusp5/Pecam1/Atp11a/Sirpd/Rxra/Nr1h3/Ptpn11/Ptpn6/Atp8a1/Itgav/Abca1/Dusp7/Map2k1/Dnmt3a/Camk2g/Rac1/Jak2/Cebpb/Itgb5/S1pr1/Nfatc1/Hif1a/Panx1/Dusp2/Sgk1/Crk/Itgb3/Sphk2/Mapk3/Elmo1/P2ry12/Gpr132/Dock1/Axl/Sirpb1a/Calr/Cx3cr1/Nr1h2"
"mmu04371","mmu04371","Apelin signaling pathway - Mus musculus (house mouse)",85,0.516228847235486,1.88773040960147,4.88368254909299e-05,0.000610460318636624,0.00035194149544071,2059,"tags=42%, list=19%, signal=35%","Plcb1/Pik3r6/Adcy7/Calm1/Gng2/Raf1/Mef2d/Itpr1/Tgfbr1/Gnaq/Ryr1/Mef2c/Rras/Jag1/Gngt2/Smad3/Acta2/Itpr3/Map2k1/Mef2a/Gnb1/Cdh1/Kras/Aplnr/Adcy4/Akt1/Lipe/Sphk2/Mapk3/Prkacb/Ccnd1/Rps6/Plcb3/Gng10/Akt3/Calml4"
"mmu04014","mmu04014","Ras signaling pathway - Mus musculus (house mouse)",130,0.450232349130591,1.75572464425857,5.4145567374352e-05,0.00065175219987646,0.000375747017256712,1753,"tags=34%, list=16%, signal=29%","Ets1/Tiam1/Met/Rasgrp1/Calm1/Afdn/Gng2/Rassf5/Raf1/Rap1b/Pdgfb/Ets2/Rasgrp2/Vegfc/Ptpn11/Rras/Gngt2/Insr/Rel/Prkcb/Gab1/Nfkb1/Rapgef5/Map2k1/Pik3cd/Hgf/Rap1a/Ksr1/Csf1r/Gnb1/Rhoa/Exoc2/Rac1/Bad/Fgfr1/Kras/Nf1/Akt1/Pld1/Mapk3/Pdgfrb/Prkacb/Ralb/Gab2"
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)",179,0.42038193401151,1.71331259561602,6.05462641242609e-05,0.000678535718633958,0.000391188203779254,2169,"tags=34%, list=20%, signal=27%","Ets1/Adcy7/Itgal/Tspo/Itgb2/Nfatc3/H2-Q6/Ccnd2/Pten/Tgfbr1/Ets2/E2f2/Il2rg/H2-K1/H2-Q7/Rb1/Slc25a4/Slc25a5/H2-Q4/H2-D1/Nrp1/B2m/Map3k14/Tgfbr2/Smad3/Tbpl1/H2-T24/Nfkb1/Stat5b/Espl1/Map2k1/Pik3cd/H2-Ob/Spi1/Fos/Ppp3r1/Nfatc1/Tln1/Kras/Adcy4/Akt1/Creb3l2/Dlg1/Nfkbia/H2-DMa/Mapk3/Prkacb/Ccnd1/Elk4/H2-T10/H2-Eb1/Vdac2/Calr/Gps2/Chuk/Akt3/Anapc16/Pik3r2/Crebbp/Adcy9"
"mmu05165","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)",214,0.396577489146787,1.63980509451982,5.96871650433176e-05,0.000678535718633958,0.000391188203779254,1706,"tags=29%, list=16%, signal=25%","Fn1/Notch1/Thbs1/Itga1/Fzd7/Itgb1/Tcf7l2/Cdkn1b/Atp6v1b2/H2-Q6/Ccnd2/Hes1/Stat2/Pten/Raf1/Tyk2/Atp6v1a/H2-K1/H2-Q7/Col4a2/Vwf/Rb1/Jag1/Mx1/Lfng/H2-Q4/H2-D1/Oasl1/Oasl2/Tbpl1/Isg15/Traf3/Itga5/Atp6v0c/Itgav/H2-T24/Nfkb1/Ikbke/Eif2ak2/Ppp2r5c/Map2k1/Pik3cd/Maml2/Casp8/Tcirg1/Dvl1/Itgb7/Irf3/Itgb5/Bad/Kras/Scrib/Cdk6/Akt1/Creb3l2/Dlg1/Itgb3/Mx2/Mapk3/Pdgfrb/Prkacb/Ccnd1/Notch2"
"mmu05417","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)",159,0.425380834036717,1.71295642260937,6.94207471854683e-05,0.00075205809450924,0.000433575192947837,1641,"tags=30%, list=15%, signal=26%","Plcb1/Pou2f2/Pparg/Cd36/Bcl2/Nfatc3/Arhgef1/Calm1/Map3k5/Rap1b/Itpr1/Rxra/Ncf1/Nfe2l2/Apaf1/Traf3/Abcg1/Nfkb1/Ikbke/Cd14/Stat3/Abca1/Il18/Pik3cd/Irf7/Casp8/Ccl2/Rap1a/Camk2g/Nlrp3/Rhoa/Rac1/Fos/Ppp3r1/Jak2/Irf3/Bad/Nfatc1/Lbp/Kras/Mib1/Akt1/Hspa8/Mib2/Nfkbia/Tank/Ern1/Mapk3"
"mmu05150","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)",34,0.657325179696897,2.00935537613468,7.63473912557073e-05,0.000800416198648544,0.000461454521002238,1575,"tags=41%, list=14%, signal=35%","C3/Fcgr4/Ptafr/Itgal/Itgb2/Fpr2/Fpr1/C4b/C1ra/Fcgr1/H2-Ob/C5ar1/Cfh/H2-DMa"
"mmu04024","mmu04024","cAMP signaling pathway - Mus musculus (house mouse)",95,0.482799130405604,1.79846174939911,9.84800986662443e-05,0.0009698797595918,0.000559153351278835,2192,"tags=45%, list=20%, signal=36%","Tiam1/Atp1a1/Adcy7/Atp2b1/Ppp1cb/Adrb1/Calm1/Afdn/Raf1/Rap1b/Adrb2/Rras/Acox3/Abcc4/Nfkb1/Pde4b/Map2k1/Pik3cd/Rap1a/Camk2g/Rhoa/Rac1/Fos/Bad/Nfatc1/Adora2a/Adcy4/Akt1/Pld1/Creb3l2/Lipe/Nfkbia/Cacna1d/Mapk3/Prkacb/Ppp1ca/Arap3/Akt3/Calml4/Pik3r2/Crebbp/Adcy9/Vav3"
"mmu04611","mmu04611","Platelet activation - Mus musculus (house mouse)",88,0.486828618872108,1.79420386025302,9.79668520920614e-05,0.0009698797595918,0.000559153351278835,2001,"tags=40%, list=18%, signal=33%","Plcb1/Fyn/Pik3r6/Adcy7/Itgb1/Ppp1cb/Rasgrp1/Arhgef1/Tbxas1/Rap1b/Itpr1/Gnaq/Vasp/Rasgrp2/Vwf/P2ry1/Actg1/Itpr3/Pik3cd/Rap1a/Apbb1ip/Rhoa/Tln1/Adcy4/Akt1/Lcp2/Itgb3/Mapk3/P2ry12/Prkacb/Plcb3/Ppp1ca/Fcer1g/Ptgs1/Akt3"
"mmu04970","mmu04970","Salivary secretion - Mus musculus (house mouse)",41,0.605778602830604,1.91469964662347,0.000112949351505252,0.00107966291880021,0.000622445342660524,964,"tags=37%, list=9%, signal=33%","Plcb1/Slc12a2/Atp1a1/Adcy7/Atp2b1/Cst3/Adrb1/Bst1/Calm1/Itpr1/Gnaq/Lyz2/Adrb2/Prkcb/Itpr3"
"mmu04972","mmu04972","Pancreatic secretion - Mus musculus (house mouse)",38,0.625467986073262,1.95734144451158,0.000129484726542953,0.00120235817504171,0.000693181393222425,1252,"tags=42%, list=12%, signal=37%","Plcb1/Slc12a2/Atp1a1/Adcy7/Atp2b1/Rab3d/Bst1/Rap1b/Itpr1/Gnaq/Prkcb/Tpcn2/Itpr3/Rap1a/Rhoa/Rac1"
"mmu05235","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse)",73,0.533830799022295,1.88026271403722,0.000151873361146096,0.00137107895479115,0.000790451996608338,2356,"tags=40%, list=22%, signal=31%","Cd274/Nfatc3/Rasgrp1/Pten/Raf1/Ptpn11/Ptpn6/Tlr9/Nfkb1/Stat3/Map2k1/Pik3cd/Fos/Ppp3r1/Jak2/Nfatc1/Hif1a/Kras/Akt1/Nfkbia/Batf3/Mapk3/Nfkbie/Chuk/Akt3/Pik3r2/Ifngr1/Batf/Tlr2"
"mmu04080","mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)",60,0.544096816402968,1.87281772094465,0.000164950791934761,0.00144889209131885,0.000835312687464794,1579,"tags=33%, list=15%, signal=29%","C3/S1pr5/Ptafr/Tspo/Adrb1/Ogfr/Adrb2/Cysltr1/Fpr2/Sstr4/P2rx4/P2ry1/Fpr1/C5ar1/Nr3c1/S1pr1/Adora2a/Aplnr/P2rx7/S1pr4"
"mmu05202","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)",126,0.440519994422541,1.70772819363291,0.000200865593373161,0.0017179294170073,0.000990417607213926,1794,"tags=33%, list=17%, signal=28%","Pparg/Met/Jup/Bcl2a1d/Cebpa/Traf1/Bcl6/Bcl2a1a/Cdkn1b/Fus/Runx2/Maf/Zbtb16/Ccnd2/Rxra/Mef2c/Cdk14/Mitf/Tgfbr2/Nfkbiz/Rel/Nfkb1/Cd14/Fcgr1/Hpgd/Bmp2k/Nupr1/Spi1/Bcl2a1b/Kmt2a/Csf1r/Etv6/Itgb7/Bmi1/Cebpb/Etv5/Ddx5/Lyl1/Ncor1/Gadd45g/Elk4/Plau"
